year,demand_local_gwh,exports_gwh,pumping_gwh,losses_gwh,demand_total_gwh,large_hydro_gwh,thermal_gwh,nuclear_gwh,law_renewables_gwh,local_generation_gwh,imports_gwh,supply_total_gwh,balance_residual_gwh,balance_residual_ppm,renewable_coverage,thermal_emissions_mt,local_intensity_kg_per_mwh,supply_boundary_intensity_kg_per_mwh,published_total_utilization,recomputed_local_utilization
2015,132109.619306,55.420548000000004,578.1123240000001,4127.330713999992,136870.48289199997,39840.35617500001,86346.962149,6518.524684000001,2510.002988,135215.845996,1654.636896,136870.482892,2.9103830456733704e-11,2.1263774220551688e-10,0.018999396116540043,46.14386808800472,341.26080229805143,337.135276452669,0.6197307005109417,0.6122387324767641
2016,133110.79462500024,327.231837,464.75569,4166.78782199977,138069.569974,36191.961047,90098.587675,7677.292339,2631.839751,136599.680812,1469.8891619999997,138069.569974,0.0,0.0,0.01977179806051357,46.89331442067398,343.29007316797845,339.6354057559859,0.6177170870959174,0.6111408686599834
2017,132530.21963199996,69.226651,400.69981999999993,4198.435839000055,137198.58194200002,39584.001327000005,88529.71855,5716.2278719999995,2634.750738,136464.69848700002,733.8834549999999,137198.58194200002,0.0,0.0,0.019880377059028346,42.71964429683773,313.04538661262137,311.3708880380209,0.5694189341320739,0.5663730780539117
2018,133009.924433,280.30169200000006,282.455337,4252.689239999978,137825.370702,39951.65359,87727.03521700001,6452.917816,3350.2279380000004,137481.834561,343.53614100000004,137825.370702,0.0,0.0,0.025187804235522162,40.81831845783524,296.8997219754466,296.15968562196605,0.5138161576498526,0.5125354470006925
2019,128946.058016,261.182016,409.2923819999999,4376.384092999992,133992.916507,35370.1581,80137.202966,7927.0774630000005,7812.137749,131246.576278,2746.340229,133992.916507,0.0,0.0,0.06058454108019842,35.71935903109475,272.1545966687601,266.57647256471733,0.479603155952789,0.4697731330270645
2020,127306.937851,3088.920078,587.6108,4397.051299999924,135380.52002899992,29093.030599999995,82335.80538299994,10010.880095,12737.160799999998,134176.87687799992,1203.643151,135380.52002899992,0.0,0.0,0.10005079860539547,36.99181698634239,275.6944255005811,273.24327738154915,0.46645030875483656,0.4623031853777485
2021,133877.486513,3849.8440589999823,536.4381920000037,4352.194962999995,142615.963727,24116.234107000007,90074.351489,10169.693915000003,17436.698529,141796.97804000002,818.9856869999999,142615.96372700002,2.9103830456733704e-11,2.0407133743067623e-10,0.1302436950615056,41.73225147478968,294.3098791782239,292.61977680615666,0.4925395453245224,0.4897110903089643
2022,138775.23340400006,31.271412,809.9094650000021,5440.177003999989,145056.59128500006,30186.324776,81750.89325499997,7469.153758,19340.231873999986,138746.60366299996,6309.987622,145056.59128499994,-1.1641532182693481e-10,-8.025510650405938e-10,0.13936371353595234,39.61656315273717,285.53176875566186,273.11108583063645,0.5152357852588418,0.4928229366002995
2023,140883.538343,97.7049229999999,817.700803,5842.483351000003,147641.42742000002,39331.815755999996,73020.09551000007,8963.021652999998,20085.93428200001,141400.86720100007,6240.560219,147641.42742000008,5.820766091346741e-11,3.9425019068585875e-10,0.14257119403899476,34.04079128331114,240.7396217374145,230.56395402134834,0.5276944158732481,0.5053896411427855
2024,140219.40169500012,970.100486,545.3853799999999,5056.875385,146791.76294600012,33424.040586,75388.19450199987,10449.015390000002,22876.61856999999,142137.86904799985,4653.892988,146791.76203599985,-0.0009100002644117922,-0.0061992597662845665,0.16314873900090043,33.65079655120996,236.74758019515622,229.24172368036082,0.5284480828159465,0.5116941397265786
2025,141252.2905739998,508.5871709999999,522.0300609999999,4813.437545,147096.3453509998,30144.156356,75224.68757299993,10760.574497,26663.247731000003,142792.66615699994,4303.789365,147096.45552199995,0.11017100015305914,0.7489711411610582,0.18876329454658689,32.225603630240016,225.68108361257222,219.07804315121862,0.531337152592985,0.5157911411106277
