alma_id,alma_name,latitude,longitude,voltage_kv,region,coordinate_status
310.0,MALAVER,-34.5615859466028,-58.555417902493,132,GBA,VALID
338.0,MUNRO,-34.5445895165811,-58.5228556384448,132,GBA,VALID
5035.0,TECNOPOLIS,-34.5625509822744,-58.5149772609302,132,GBA,VALID
130.0,COGHLAN,-34.5607024534237,-58.4863871956014,132,GBA,VALID
327.0,MIGUELETES,-34.5797747586217,-58.5275244848962,132,GBA,VALID
9.0,AGRONOMÍA,-34.5951936245949,-58.4933564237554,132,GBA,VALID
124.0,CIUDADELA ,-34.6237557467029,-58.5466482560138,132,GBA,VALID
504.0,S. RITA,-34.6116499393862,-58.4839403321939,132,GBA,VALID
2773.0,URQUIZA,-34.5779492617502,-58.4829851064282,132,GBA,VALID
623.0,AUSTRIA,-34.587981072164,-58.4050162647115,132,GBA,VALID
2613.0,SUAREZ,-34.5290672167415,-58.5674115218936,132,GBA,VALID
559.0,V. ADELINA,-34.5266966955254,-58.5431602033992,132,GBA,VALID
131.0,COLEGIALES,-34.5776355712169,-58.4435402653758,132,GBA,VALID
226.0,GÜEMES,-34.5822003878424,-58.4223286141835,132,GBA,VALID
325.0,MELO ,-34.6677066493595,-58.742303714428,132,GBA,VALID
1154.0,VIDAL,-34.5635907616989,-58.4603615916681,132,GBA,VALID
4133.0,SAAVEDRA,-34.5463749619458,-58.4754278883326,132,GBA,VALID
421.0,PUERTO NUEVO,-34.5760526861,-58.3772198269,132,GBA,VALID
336.0,MORON,-34.5963324754105,-58.6713355801208,132,GBA,VALID
93.0,CASEROS,-34.6020386011984,-58.5624764466628,132,GBA,VALID
96.0,CASTELAR,-34.6429073577056,-58.6229947096934,132,GBA,VALID
5496.0,ARA SAN JUAN,-34.5306626498071,-58.6979586482466,132,GBA,VALID
346.0,NOGUES,-34.5082694568217,-58.7259459030139,132,GBA,VALID
5003.0,JOSE C PAZ,-34.5106790370365,-58.7939051615671,132,GBA,VALID
431.0,R. MEJÍA,-34.6358790265155,-58.5700963321081,132,GBA,VALID
630.0,SEVEL,-34.5966585624139,-58.5819523240381,132,GBA,VALID
1153.0,MUÑIZ,-34.560648084306,-58.7375799373376,132,GBA,VALID
528.0,TALAR,-34.4754669935879,-58.6586084180355,132,GBA,VALID
41.0,BANCALARI,-34.483231230587,-58.6174119858926,132,GBA,VALID
57.0,BOULOGNE,-34.4911489196151,-58.5637377882447,132,GBA,VALID
168.0,EDISON,-34.4998774592772,-58.5149325599408,132,GBA,VALID
352.0,NUEVO PUERTO,-34.5714883333,-58.3846865141,132,GBA,VALID
477.0,SAN ISIDRO,-34.46935759129,-58.5137331980007,132,GBA,VALID
535.0,TIGRE,-34.428825559909,-58.5816621974223,132,GBA,VALID
557.0,VICTORIA,-34.4618959848525,-58.5476894452211,132,GBA,VALID
2014.0,SAN FERNANDO,-34.4652087391278,-58.5922176543912,132,GBA,VALID
4373.0,NORDELTA,-34.4091240855451,-58.6284098047834,132,GBA,VALID
555.0,V. LOPEZ,-34.5171187402306,-58.4880019328922,132,GBA,VALID
286.0,LIBERTADOR,-34.5527664516937,-58.4498589222021,132,GBA,VALID
4856.0,ANIVERSARIO,-34.5325866137384,-58.4643873456108,132,GBA,VALID
5211.0,AGUAS,-34.5534226367976,-58.4342643816739,132,GBA,VALID
319.0,MATHEU,-34.3931233654377,-58.8368447167794,132,GBA,VALID
652.0,MASCHWITZ,-34.375858951699,-58.754264323867,132,GBA,VALID
54.0,BENAVIDEZ,-34.4325498410212,-58.7120775928744,132,GBA,VALID
200.0,FORD,-34.4435894030776,-58.7017839864989,132,GBA,VALID
153.0,DEL VISO,-34.4634369802981,-58.7819596816939,132,GBA,VALID
492.0,SAN MIGUEL,-34.5414399700896,-58.7647141258164,132,GBA,VALID
2053.0,TORTUGUITAS,-34.4682665997787,-58.7397688244562,132,GBA,VALID
5003.0,J.C PAZ,-34.5106790370365,-58.7939051615671,132,GBA,VALID
273.0,CATONAS,-34.6188056955446,-58.7594653709431,132,GBA,VALID
312.0,MALVINAS,-34.5763806134752,-58.9395977502627,132,GBA,VALID
400.0,PILAR,-34.4173062241523,-58.9560817277534,132,GBA,VALID
753.0,DERQUI,-34.4428090133914,-58.8704263789241,132,GBA,VALID
2673.0,MANZONE,-34.4608367469577,-58.9261600831479,132,GBA,VALID
4855.0,PARQUE,-34.4038210898978,-58.9854440886438,132,GBA,VALID
55.0,BLANCO,-34.603788991644,-58.3768766478174,132,GBA,VALID
239.0,INDEPENDENCIA,-34.6221437726,-58.4117712094,132,GBA,VALID
356.0,ONCE,-34.6079029502679,-58.398256099648,132,GBA,VALID
387.0,PELLEGRINI,-34.6075225817975,-58.3811789461529,132,GBA,VALID
410.0,POZOS,-34.6144844073194,-58.3930171436507,132,GBA,VALID
433.0,RECONQUISTA,-34.5989653750843,-58.3729266134431,132,GBA,VALID
449.0,RIVADAVIA,-34.6080093625638,-58.3760651529268,132,GBA,VALID
2173.0,CHARCAS,-34.5973017908848,-58.3723075189586,132,GBA,VALID
389.0,PERITO MORENO,-34.6493017487778,-58.4772173033373,132,GBA,VALID
