nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom,longitude,latitude
OLAVARRÍA 500,OL,TRANSBA S.A,TRANSBA S.A,600.0,,500,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-60.343173,-36.839964]]}",0104000020E610000001000000010100000063EFC517ED2B4EC09FE8BAF0836B42C0,-60.343173,-36.839964
LA PAMPITA,LT,TRANSBA S.A,TRANSBA S.A,0.0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.294265,-37.037109]]}",0104000020E6100000010000000101000000C1ADBB79AA254EC092B1DAFCBF8442C0,-60.294265,-37.037109
LOMA NEGRA,LN,TRANSBA S.A,TRANSBA S.A,0.0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.27335,-36.992846]]}",0104000020E6100000010000000101000000492EFF21FD224EC072FBE593157F42C0,-60.27335,-36.992846
OLAVARRÍA 132,OA,TRANSBA S.A,TRANSBA S.A,90.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.238069,-36.944388]]}",0104000020E61000000100000001010000008198840B791E4EC00F5EBBB4E17842C0,-60.238069,-36.944388
CALERA AVELLANEDA,CV,TRANSBA S.A,TRANSBA S.A,0.0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.236532,-36.981796]]}",0104000020E61000000100000001010000008E3A3AAE461E4EC0FCABC77DAB7D42C0,-60.236532,-36.981796
SALTO,SA,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.232961,-34.301996]]}",0104000020E61000000100000001010000002A1F82AAD11D4EC0ECC20FCEA72641C0,-60.232961,-34.301996
TRES ARROYOS,TY,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.232337,-38.38479]]}",0104000020E61000000100000001010000004C530438BD1D4EC0F7E978CC403143C0,-60.232337,-38.38479
SAN NICOLAS URBANA,NU,TRANSBA S.A,TRANSBA S.A,88.0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-60.213687,-33.348374]]}",0104000020E6100000010000000101000000494A7A185A1B4EC06B63EC8497AC40C0,-60.213687,-33.348374
RAMALLO,RA,TRANSENER S.A,TRANSENER S.A,600.0,2000-11-20,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-60.180318424784,-33.4105952317404]]}",0104000020E610000001000000010100000020A894AC14174EC0F81B72628EB440C0,-60.180318424784,-33.4105952317404
SAN NICOLAS,SN,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.171383,-33.356188]]}",0104000020E6100000010000000101000000910BCEE0EF154EC0249D819197AD40C0,-60.171383,-33.356188
SIDERAR,SID,TRANSBA S.A,TRANSBA S.A,0.0,2010-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-60.165476,-33.364878]]}",0104000020E6100000010000000101000000EE224C512E154EC0D3838252B4AE40C0,-60.165476,-33.364878
CHILLAR,CL,TRANSBA S.A,TRANSBA S.A,0.0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-60.117183,-37.301102]]}",0104000020E6100000010000000101000000D65240DAFF0E4EC04E61A5828AA642C0,-60.117183,-37.301102
ARRECIFES,AS,TRANSBA S.A,TRANSBA S.A,35.0,,66,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.105769,-34.071604]]}",0104000020E61000000100000001010000001FF7ADD6890D4EC0A321E3512A0941C0,-60.105769,-34.071604
GONZÁLES CHAVEZ,GC,TRANSBA S.A,TRANSBA S.A,20.0,,132 | 220,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-60.075878,-38.046026]]}",0104000020E6100000010000000101000000323ECC5EB6094EC00262122EE40543C0,-60.075878,-38.046026
RAMALLO INDUSTRIAL,RN,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-60.047051,-33.460624]]}",0104000020E61000000100000001010000003F1F65C405064EC059E02BBAF5BA40C0,-60.047051,-33.460624
CHIVILCOY,CI,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.993397,-34.918458]]}",0104000020E6100000010000000101000000E67805A227FF4DC0F25F2008907541C0,-59.993397,-34.918458
AZUL,AZ,TRANSBA S.A,TRANSBA S.A,55.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.878352,-36.76672]]}",0104000020E610000001000000010100000027309DD66DF04DC0359886E1236242C0,-59.878352,-36.76672
SALADILLO,SB,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.828048,-35.644222]]}",0104000020E610000001000000010100000055C2137AFDE94DC08EAED2DD75D241C0,-59.828048,-35.644222
IBARRETA,IBA,TRANSNEA S.A,TRANSNEA S.A,30.0,2004-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.8188284689831,-25.2237004031039]]}",0104000020E61000000100000001010000007EA80B5FCFE84DC0E56EFB6D443939C0,-59.8188284689831,-25.2237004031039
CAPITÁN SARMIENTO,CT,TRANSBA S.A,TRANSBA S.A,20.0,,66,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.7839,-34.171712]]}",0104000020E6100000010000000101000000CEAACFD556E44DC0562AA8A8FA1541C0,-59.7839,-34.171712
ROMANG,RM,TRANSENER S.A,TRANSENER S.A,150.0,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.7638165626878,-29.4591547631017]]}",0104000020E61000000100000001010000009071BABDC4E14DC01053A32A8B753DC0,-59.7638165626878,-29.4591547631017
SAN PEDRO,SH,TRANSBA S.A,TRANSBA S.A,30.0,,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-59.727761,-33.779637]]}",0104000020E6100000010000000101000000F226BF4527DD4DC033E02C25CBE340C0,-59.727761,-33.779637
PAPEL PRENSA,PS,TRANSBA S.A,TRANSBA S.A,15.0,,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-59.629435,-33.725287]]}",0104000020E610000001000000010100000098FA795391D04DC0639B5434D6DC40C0,-59.629435,-33.725287
BARADERO,BD,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.523969,-33.806689]]}",0104000020E6100000010000000101000000158F8B6A11C34DC07F85CC9541E740C0,-59.523969,-33.806689
GUEMES,GUE,TRANSNEA S.A,TRANSNEA S.A,30.0,2015-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.4928257713848,-24.7588020740144]]}",0104000020E6100000010000000101000000A65C35EA14BF4DC055074CDA40C238C0,-59.4928257713848,-24.7588020740144
CACHARI,CC,TRANSBA S.A,TRANSBA S.A,0.0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-59.483974,-36.388264]]}",0104000020E6100000010000000101000000A20E2BDCF2BD4DC0691B7FA2B23142C0,-59.483974,-36.388264
SAN ANTONIO DE ARECO,AA,TRANSBA S.A,TRANSBA S.A,40.0,,132,13.2 | 33 | 66,"{""type"":""MultiPoint"",""coordinates"":[[-59.462813,-34.248366]]}",0104000020E6100000010000000101000000F294D5743DBB4DC01BB80375CA1F41C0,-59.462813,-34.248366
MERCEDES,MD,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.431822,-34.666181]]}",0104000020E6100000010000000101000000BED87BF145B74DC0B91B446B455541C0,-59.431822,-34.666181
VILLA LIA,VL,TRANSENER S.A,TRANSENER S.A,0.0,1981-01-01,220,220,"{""type"":""MultiPoint"",""coordinates"":[[-59.411166908213,-34.1264204530345]]}",0104000020E610000001000000010100000070FC031EA1B44DC018AA9F8B2E1041C0,-59.411166908213,-34.1264204530345
VILLA LIA,VL,TRANSBA S.A,TRANSBA S.A,150.0,,220,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-59.410672,-34.126917]]}",0104000020E610000001000000010100000003B16CE690B44DC03927F6D03E1041C0,-59.410672,-34.126917
BARKER,BK,TRANSBA S.A,TRANSBA S.A,61.5,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.401875,-37.635965]]}",0104000020E61000000100000001010000003D0AD7A370B34DC04833164D67D142C0,-59.401875,-37.635965
COLORADO,COL,TRANSNEA S.A,TRANSNEA S.A,22.5,2007-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.3480523620349,-26.3107749935861]]}",0104000020E6100000010000000101000000291ED4FA8CAC4DC0F3DD31F38E4F3AC0,-59.3480523620349,-26.3107749935861
GENERAL SAN  MARTIN,GSM,TRANSNEA S.A,TRANSNEA S.A,0.0,2008-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.3222859783221,-26.5581677754298]]}",0104000020E61000000100000001010000002E6DBCAA40A94DC0EB265515E48E3AC0,-59.3222859783221,-26.5581677754298
GOYA,GOY,TRANSNEA S.A,TRANSNEA S.A,75.0,1981-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.2275327987878,-29.138527438275]]}",0104000020E6100000010000000101000000D0C774CB1F9D4DC06EFDC08876233DC0,-59.2275327987878,-29.138527438275
ATUCHA,AT1,TRANSENER S.A,TRANSENER S.A,150.0,1973-01-01,220,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.2061226204769,-33.9685065104081]]}",0104000020E610000001000000010100000008F5DC39629A4DC038157605F8FB40C0,-59.2061226204769,-33.9685065104081
ATUCHA,AT2,TRANSENER S.A,TRANSENER S.A,0.0,2012-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-59.2048786665549,-33.971081132681]]}",0104000020E61000000100000001010000002840D276399A4DC05050F5624CFC40C0,-59.2048786665549,-33.971081132681
LAS FLORES,LF,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.144164,-36.028305]]}",0104000020E61000000100000001010000005AA148F773924DC01AA88C7F9F0342C0,-59.144164,-36.028305
TANDIL,TD,TRANSBA S.A,TRANSBA S.A,90.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.133678,-37.295333]]}",0104000020E6100000010000000101000000EC18575C1C914DC0FC36C478CDA542C0,-59.133678,-37.295333
LAS PALMAS,LS,TRANSBA S.A,TRANSBA S.A,30.0,2010-01-01,132,33,"{""type"":""MultiPoint"",""coordinates"":[[-59.127898,-34.081434]]}",0104000020E6100000010000000101000000A69C2FF65E904DC02864E76D6C0A41C0,-59.127898,-34.081434
LUJÁN,LJ,TRANSBA S.A,TRANSBA S.A,100.0,,132,13.2 | 33 | 66,"{""type"":""MultiPoint"",""coordinates"":[[-59.116032,-34.586827]]}",0104000020E61000000100000001010000000DA5F622DA8E4DC074B4AA251D4B41C0,-59.116032,-34.586827
RESISTENCIA,RS,TRANSENER S.A,TRANSENER S.A,600.0,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.1072748716977,-27.2987480993948]]}",0104000020E6100000010000000101000000E0CFD82EBB8D4DC090A464C17A4C3BC0,-59.1072748716977,-27.2987480993948
PROTISA,PJ,TRANSBA S.A,TRANSBA S.A,30.0,,132,6.6 | 13.2,"{""type"":""MultiPoint"",""coordinates"":[[-59.095079,-34.059296]]}",0104000020E6100000010000000101000000A8C4758C2B8C4DC04E64E602970741C0,-59.095079,-34.059296
