nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom
AGUA BLANCA,ABL,TRANSNOA S.A,TRANSNOA S.A,60,1956-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.4159845360675,-27.0795340671171]]}",0104000020E61000000100000001010000004C839A7D9F5A50C08C2F39585C143BC0
SALTA NORTE,SNO,TRANSNOA S.A,TRANSNOA S.A,50,1997-06-25,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.3982754550894,-24.7422310679944]]}",0104000020E6100000010000000101000000259A55587D5950C06E1CF3DA02BE38C0
SIERRA GRANDE,SG,EDERSA TI,TRANSPA S.A,88,1975-01-01,132,6.6 | 13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.376,-41.674]]}",0104000020E6100000010000000101000000F2D24D62105850C083C0CAA145D644C0
PAPELERA TUCUMAN,PTU,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.3697979095081,-26.9388223730322]]}",0104000020E6100000010000000101000000D8DDD9C4AA5750C037EDBCA956F03AC0
TRELEW,TW,TRANSPA S.A,TRANSPA S.A,75,1973-01-01,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-65.343,-43.255]]}",0104000020E6100000010000000101000000CBA145B6F35550C0713D0AD7A3A045C0
LULES,LUL,TRANSNOA S.A,TRANSNOA S.A,30,2008-07-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.3391918237068,-26.9470688304581]]}",0104000020E61000000100000001010000000A799F51B55550C0E9E0551A73F23AC0
CABRA CORRAL,CCO,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.3296130884968,-25.2710854705556]]}",0104000020E610000001000000010100000057DB7E61185550C0FD747EDB654539C0
JUJUY SUR,JSU,TRANSNOA S.A,TRANSNOA S.A,60,1977-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.2963682913613,-24.2094848361942]]}",0104000020E6100000010000000101000000F9BDB5B2F75250C03B7658CCA03538C0
TRANCAS,TRA,TRANSNOA S.A,TRANSNOA S.A,15,2000-01-25,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.2747580162336,-26.2238769970485]]}",0104000020E61000000100000001010000006082A5A2955150C063A6BC0050393AC0
JUJUY ESTE,JES,TRANSNOA S.A,TRANSNOA S.A,60,1996-12-19,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.2647414102666,-24.2139567502726]]}",0104000020E61000000100000001010000007FBFF485F15050C0D82D9DDEC53638C0
TUCUMAN OESTE,TOE,TRANSNOA S.A,TRANSNOA S.A,90,1991-01-01,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.263255849271,-26.8103273164856]]}",0104000020E61000000100000001010000005FC60F2FD95050C0655C6B9C71CF3AC0
LA CALERA,LCA,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.2282974261795,-28.4666712810441]]}",0104000020E6100000010000000101000000EDCCCE6C9C4E50C01111E2C477773CC0
INDEPENDENCIA,IND,TRANSNOA S.A,TRANSNOA S.A,90,1956-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.2240955890502,-26.8656820386201]]}",0104000020E61000000100000001010000007F890695574E50C09F9B8C569DDD3AC0
LAS MADERAS,LMA,TRANSNOA S.A,TRANSNOA S.A,15,2006-09-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.2202298346461,-24.4433003789178]]}",0104000020E6100000010000000101000000255AE03E184E50C095C135227C7138C0
PE LOMA BLANCA,LB,TRANSPA S.A,TRANSPA S.A,0,2013-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-65.214,-43.063]]}",0104000020E610000001000000010100000004560E2DB24D50C0F2D24D62108845C0
ESTATICA,EST,TRANSNOA S.A,TRANSNOA S.A,90,,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.2131587214799,-26.8486010590403]]}",0104000020E610000001000000010100000043677A64A44D50C0D6ED43EB3DD93AC0
TUCUMAN NORTE,TUN,TRANSNOA S.A,TRANSNOA S.A,90,1966-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.2124875335514,-26.7909786798506]]}",0104000020E61000000100000001010000004EDA4F65994D50C0ABCA29947DCA3AC0
SARMIENTO,SAR,TRANSNOA S.A,TRANSNOA S.A,84,,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.2114135489393,-26.81587745756]]}",0104000020E610000001000000010100000008A8B1CC874D50C087C35558DDD03AC0
AVELLANEDA,AVE,TRANSNOA S.A,TRANSNOA S.A,60,1998-10-27,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.1949768377266,-26.8291964850805]]}",0104000020E6100000010000000101000000D76021807A4C50C00261893846D43AC0
PALPALA,PAL,TRANSNOA S.A,TRANSNOA S.A,45,1963-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.1871794974094,-24.25918574685]]}",0104000020E6100000010000000101000000BBF6B6BFFA4B50C0674F42FF594238C0
EL CADILLAL,CAD,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.1867646514599,-26.6196752346433]]}",0104000020E61000000100000001010000006C84B9F3F34B50C021EF4209A39E3AC0
P.EOLICO RAWSON,PW,TRANSPA S.A,TRANSPA S.A,120,2011-01-01,132,33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-65.179,-43.349]]}",0104000020E6100000010000000101000000FA7E6ABC744B50C0E9263108ACAC45C0
EL BRACHO,BR,TRANSENER S.A,TRANSENER S.A,600,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-65.1647371770603,-26.9946205924932]]}",0104000020E610000001000000010100000030FACC0D8B4A50C0C0AF84749FFE3AC0
EL BRACHO,BRA,TRANSNOA S.A,TRANSNOA S.A,15,1987-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.1632666666667,-26.99375]]}",0104000020E61000000100000001010000000F7708F6724A50C06766666666FE3AC0
CEVIL POZO,CPZ,TRANSNOA S.A,TRANSNOA S.A,90,1998-04-14,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.1375572690151,-26.8459105864106]]}",0104000020E6100000010000000101000000CDEF00BDCD4850C037F99F988DD83AC0
RAWSON,RW,TRANSPA S.A,TRANSPA S.A,30,2006-01-01,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-65.1245,-43.3055]]}",0104000020E61000000100000001010000008716D9CEF74750C0C976BE9F1AA745C0
FRIAS,FRI,TRANSNOA S.A,TRANSNOA S.A,60,1956-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.1223674785096,-28.6063761199226]]}",0104000020E6100000010000000101000000BB9267DED44750C0982424773B9B3CC0
PUERTO MADRYN,PY,INTESAR,TRANSENER S.A,450,2006-02-24,500,330,"{""type"":""MultiPoint"",""coordinates"":[[-65.1056373305828,-42.7051755398673]]}",0104000020E6100000010000000101000000C00514C3C24650C0A8D52C31435A45C0
EL LAVALLE,LAV,TRANSENER S.A,TRANSENER S.A,0,2015-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-65.1053101985974,-28.1585610602436]]}",0104000020E61000000100000001010000004CBAFC66BD4650C0502A287597283CC0
PUERTO MADRYN,PM,TRANSPA S.A,TRANSPA S.A,120,1978-01-01,132 | 330,132 | 330,"{""type"":""MultiPoint"",""coordinates"":[[-65.102,-42.71]]}",0104000020E61000000100000001010000004A0C022B874650C07B14AE47E15A45C0
S. ANTONIO OESTE,SO,EDERSA TI,TRANSPA S.A,15,1983-01-01,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-65.0695,-40.7455]]}",0104000020E61000000100000001010000009CC420B0724450C08195438B6C5F44C0
LA PAZ,LPA,TRANSNOA S.A,TRANSNOA S.A,10,2009-11-15,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.0607095537683,-29.262166548823]]}",0104000020E610000001000000010100000057FF52AAE24350C0D14CD1581D433DC0
RECREO,RE,TRANSENER S.A,TRANSENER S.A,300,1987-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-65.0577921125935,-29.2600738698494]]}",0104000020E61000000100000001010000009463B0DDB24350C0208C7D3394423DC0
COBOS,COB,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-65.0528496644016,-24.746337321014]]}",0104000020E61000000100000001010000006B0D8FE3614350C0128A71F60FBF38C0
P. ALUMINIO APPA,AP,TRANSPA S.A,TRANSPA S.A,900,1973-01-01,330,33 | 132 | 330,"{""type"":""MultiPoint"",""coordinates"":[[-65.0512,-42.7407]]}",0104000020E610000001000000010100000088635DDC464350C0D712F241CF5E45C0
P. ALUMINIO DGPA,DG,TRANSPA S.A,TRANSPA S.A,80,1978-01-01,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-65.051,-42.741]]}",0104000020E610000001000000010100000025068195434350C0022B8716D95E45C0
COBOS,CB,INTESAR,TRANSENER S.A,450,2010-09-14,500,345,"{""type"":""MultiPoint"",""coordinates"":[[-65.0477904492342,-24.7462911080461]]}",0104000020E61000000100000001010000006821ACFF0E4350C0805A1EEF0CBF38C0
GUEMES,GUE,TRANSNOA S.A,TRANSNOA S.A,30,1963-01-01,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-65.0434068745408,-24.6884012535618]]}",0104000020E6100000010000000101000000BFA4A02DC74250C0BB9286103BB038C0
PUNTA COLORADA,PC,EDERSA TI,TRANSPA S.A,15,1975-01-01,132,6.6 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-65.0295,-41.698]]}",0104000020E6100000010000000101000000D9CEF753E34150C0D34D621058D944C0
SAN JUANCITO,SJU,TRANSNOA S.A,TRANSNOA S.A,30,1963-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.9999512569961,-24.3775243608656]]}",0104000020E61000000100000001010000001A998E33FF3F50C07C5CBF6FA56038C0
SAN JUANCITO,SO,TRANSENER S.A,TRANSENER S.A,300,2011-07-03,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-64.9975983397928,-24.3767959477702]]}",0104000020E610000001000000010100000010FDB4A6D83F50C040F000B3756038C0
METAN,MET,TRANSNOA S.A,TRANSNOA S.A,15,1975-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.98060305059,-25.5085640654219]]}",0104000020E610000001000000010100000015294C33C23E50C072E82C41318239C0
ROSARIO DE LA FRONTERA,ROS,TRANSNOA S.A,TRANSNOA S.A,30,2008-10-03,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.9595177520743,-25.8073182823857]]}",0104000020E6100000010000000101000000CB4525BD683D50C03D4F3469ACCE39C0
