nombre,id,tension,fases,seccion,material,fecha_puesta_servicio,propiedad,concesion,geojson
EMBALSE - ALMAFUERTE 132 1,,132,,300 mm2,,1993-01-01,NUCLEOELECTRICA ARG. SA,NUCLEOELECTRICA ARG. SA,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3183650598796,-32.205032329749],[-64.3192410305255,-32.2050711989652],[-64.3271735093979,-32.2067201770457],[-64.3726880564492,-32.2160983255918],[-64.3767116018199,-32.216952763534],[-64.3934469377365,-32.2168054898653],[-64.4024226060008,-32.2167052656955],[-64.4074102734995,-32.2166243005193],[-64.4332334368294,-32.2309133980376],[-64.435402267453,-32.232099480827],[-64.4378521272343,-32.2325844092502],[-64.4399769018127,-32.2338473206],[-64.4413532201725,-32.2336033372808]]]}"
STA CATALINA - LAS FERIAS 66 1,,66,,150 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.4398654238333,-33.2170358625878],[-64.4390747463412,-33.2184192248648],[-64.4239355996735,-33.2109464388903],[-64.41996126555,-33.2007812531625],[-64.4184124703288,-33.1967123979271],[-64.4181570134092,-33.1944862344414],[-64.4174645011182,-33.1924212432659],[-64.4173734539947,-33.1912417259852],[-64.4114701988433,-33.1867886227131],[-64.4052815024501,-33.182102230597],[-64.4011971347832,-33.1790050876319],[-64.3950513440574,-33.1743428566722],[-64.3909436204422,-33.1712480425667],[-64.384794160769,-33.1666021629103],[-64.3783511098313,-33.1618629458773],[-64.3701257221519,-33.1557345645473],[-64.3682173195181,-33.1542751485159],[-64.3678921126503,-33.1546752566456],[-64.3672727394711,-33.1544957019366],[-64.3636666114755,-33.1544777914101],[-64.3626846252349,-33.1545038040792],[-64.3607686627075,-33.1544903910208],[-64.3605118326612,-33.1543949485421],[-64.3601741596633,-33.1530991224792],[-64.3597877946643,-33.1517094328164],[-64.3601910498469,-33.1516194396975]]]}"
RIO CUARTO - ELENA,,132,,300 mm2,,1993-01-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.4139144970352,-32.5632206474989],[-64.4138863961135,-32.5703155749494],[-64.4138682194515,-32.5863176352092],[-64.416255145817,-32.6185279302857],[-64.4198157839431,-32.6665952850538],[-64.4212868922913,-32.687218611837],[-64.4239125972668,-32.7237415094474],[-64.4286171686185,-32.7883397821111],[-64.4310814706821,-32.8262271557247],[-64.4326329678603,-32.8474293223573],[-64.4360037408381,-32.8876834883118],[-64.4375962823906,-32.9061369035229],[-64.4387405608411,-32.9197612803746],[-64.4394156587159,-32.9279056807596],[-64.4393741335498,-32.9410340337436],[-64.4394067544598,-32.9916819324171],[-64.4394343169645,-33.0212231994171],[-64.4393628485182,-33.0487619933051],[-64.4278832577268,-33.0616040616751],[-64.4149776303564,-33.0762546432657],[-64.4093019036863,-33.0826138357408],[-64.4035550790285,-33.089054680762],[-64.3981493887964,-33.0950989607073],[-64.3909750015275,-33.1031414327394],[-64.3874092444006,-33.1071236649201],[-64.3870049086979,-33.1072151563287],[-64.386787546051,-33.1072133853354]]]}"
ALTA GRACIA PI-ALTA GRACIA 66,,66,,,,,,,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3153660557874,-31.6578947553067],[-64.3159605060898,-31.6579318630859],[-64.3160683115229,-31.6579292444177],[-64.3172779467727,-31.6577312478567],[-64.3183669390875,-31.6575504155182],[-64.3197814535405,-31.6576787373474],[-64.3207369379216,-31.6577709573839],[-64.3219247413629,-31.6579340857684],[-64.3394820610824,-31.6603854451504],[-64.3512010446771,-31.6620181817644],[-64.3727850414232,-31.6650562136231],[-64.3823681692862,-31.6663822691963],[-64.3868509472372,-31.6665288424166],[-64.3958345569975,-31.6657701998393],[-64.4025684475498,-31.6651889392134],[-64.4064606250364,-31.6648726930064],[-64.4097250648109,-31.664666292571],[-64.4106889861383,-31.6648627112915],[-64.4153353067409,-31.6648962551216],[-64.4208420569608,-31.6649442653154],[-64.4232515918396,-31.6649523292327],[-64.4235468580501,-31.6650208720712],[-64.4236668142236,-31.6650230164094]]]}"
REOLIN F.SIMONS 66 1,,66,,85 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.4205692227886,-32.1787167465939],[-64.4090932111401,-32.1837125142679],[-64.4073595170669,-32.1851335456901],[-64.4059422015583,-32.1865054764983],[-64.4041449903584,-32.188232141786],[-64.4014283607008,-32.1926472134671],[-64.4004545165231,-32.1946648739614],[-64.397965654252,-32.1971959491815],[-64.3938670699855,-32.2010502625346],[-64.3913286827159,-32.2030696525694],[-64.389761086311,-32.2045095296479],[-64.3877566438272,-32.2045510256516],[-64.3845711926003,-32.2045681794399],[-64.3822367208515,-32.2043561141698],[-64.3798261240665,-32.204173662232],[-64.377390729007,-32.2039364895126],[-64.3745423661795,-32.2036891665792],[-64.371871469802,-32.203444029267],[-64.3671124339451,-32.2030372363129],[-64.3583019168234,-32.2022954932529],[-64.3492226673409,-32.2015442755137],[-64.346779471344,-32.2013328030368],[-64.3432690851494,-32.2010398267405],[-64.3385987493453,-32.200382394527],[-64.3370363157299,-32.2000880069301],[-64.334650293455,-32.1996471765347],[-64.3305881160491,-32.1988774970145],[-64.3277176304004,-32.1983266371456],[-64.3250231895206,-32.1977988911518],[-64.3224466855185,-32.1971830144871],[-64.3209592290017,-32.1935810500891],[-64.3204499850927,-32.1924255133323],[-64.321412234337,-32.1905311457188],[-64.3219600749803,-32.1894840780944],[-64.322345395457,-32.1883362035601],[-64.3228229542404,-32.1881094231689]]]}"
REOLIN - ELENA 132 1,,132,,300 mm2,,1993-01-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3237980778407,-32.1886804763612],[-64.3235466658428,-32.1889492546018],[-64.3245815250575,-32.1936312547013],[-64.3265601909847,-32.2021388691513],[-64.3278166642932,-32.2074348685148],[-64.3270820196981,-32.2080717851977],[-64.3286193301755,-32.2128702591028],[-64.3320772896188,-32.2236661941489],[-64.334481924925,-32.2311107361493],[-64.340222347076,-32.2489713772998],[-64.3424648271829,-32.2562856266063],[-64.3444924690765,-32.2638174501621],[-64.3458325806746,-32.2688146640175],[-64.3481902215219,-32.2772709675001],[-64.3520551071938,-32.2918236956792],[-64.3545729091168,-32.3011803072279],[-64.3577751482409,-32.3141216950368],[-64.3589173137008,-32.319168567907],[-64.361119120694,-32.3288711689921],[-64.3616067589098,-32.3311698873247],[-64.3628281960711,-32.332002322264],[-64.3654280953128,-32.3416787730149],[-64.3685075790401,-32.3530102898631],[-64.3711719261391,-32.3607232362339],[-64.375494554062,-32.372999577586],[-64.3789905997927,-32.3829735722084],[-64.383544938441,-32.3959140879973],[-64.3871410912098,-32.4060992439942],[-64.3907689200206,-32.4164671478559],[-64.3997829458715,-32.4421048210789],[-64.4014126982161,-32.4471949293328],[-64.4035496369722,-32.454762424288],[-64.4117474058752,-32.4838125379473],[-64.4139040354578,-32.4913845112842],[-64.4138830667748,-32.507466182032],[-64.4138734179674,-32.531674889113],[-64.4138936899387,-32.5473874845291],[-64.4139144970352,-32.562938097586]]]}"
S.ROQUE - LA CALERA,,66,,150 mm2,,1998-01-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3348492799231,-31.3676258756116],[-64.3485221801236,-31.3657739748245],[-64.3609356803423,-31.3640449553838],[-64.3622806692532,-31.368137703622],[-64.3731640855836,-31.3654209343546],[-64.3797559287988,-31.3615657422997],[-64.3859269353591,-31.3605602905868],[-64.3883754924473,-31.3603038027087],[-64.3923976791882,-31.3566755621919],[-64.3934631629327,-31.3538948921486],[-64.3933929683475,-31.3537994002519]],[[-64.3336278730853,-31.3531947978616],[-64.3333659066295,-31.3531132678654],[-64.3334703204465,-31.3541408402316],[-64.3336544377008,-31.3546108648532],[-64.333715795408,-31.3551955799012],[-64.3338922669336,-31.3557968186978],[-64.334082986879,-31.3578251861511],[-64.3341490829199,-31.3584814213293],[-64.3340910647495,-31.3587732514171],[-64.3342115158228,-31.3601527419341],[-64.3341861566031,-31.3633839197599],[-64.3341739550134,-31.3651190085117],[-64.3343696517944,-31.3663699765167],[-64.3348492799231,-31.3676258756116]]]}"
RIO CUARTO - MARANZANA II 132 1,,132,,300 mm2,,2008-08-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3662652835354,-33.1606157114705],[-64.3663162953789,-33.1604690598729],[-64.3651429557805,-33.1598806942334],[-64.3661597625919,-33.1584358292702],[-64.3695654162952,-33.1588001986543],[-64.3701426455052,-33.1584764605532],[-64.3701073761679,-33.1581408780599],[-64.3640881205657,-33.1549763001892],[-64.3642946476398,-33.1546386574791],[-64.3675306910518,-33.1546637196137],[-64.3680327269857,-33.1542982086049],[-64.3631575294634,-33.1506094971502],[-64.3632993471557,-33.1504932347909],[-64.3832793207134,-33.1461360292741],[-64.3854778777241,-33.1456338208159],[-64.3858252132889,-33.1457585428342],[-64.3858449838352,-33.1078063834541],[-64.3858603935203,-33.1072380702283],[-64.3863678113632,-33.1072427242507]]]}"
V. MACKENA BRUZZONE 66 1,,66,,150 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3788630060867,-34.4229070883807],[-64.3790131750763,-34.422909866963],[-64.3790258048721,-34.4220053766926],[-64.3793168084849,-34.4088947247669],[-64.3795548219623,-34.3974920782425],[-64.3798021897098,-34.3860713569003],[-64.3800388929794,-34.3746244862097],[-64.3801333949936,-34.3700915949649],[-64.3802291210034,-34.3655146483566],[-64.3804133215754,-34.3565385316153],[-64.3806861552866,-34.3431278460936],[-64.3809351286539,-34.3299176854212],[-64.381221503526,-34.3166232993826],[-64.3815006016301,-34.3033040994034],[-64.381712093052,-34.2922036504564],[-64.381948050108,-34.2810473612617],[-64.3821213057477,-34.2723318049061],[-64.3823340653683,-34.2618927063829],[-64.3825562596486,-34.2506687706743],[-64.3827972999816,-34.2371852247141],[-64.3829669047874,-34.2282537107423],[-64.3830999535353,-34.2218366580956],[-64.383218078604,-34.2154845877429],[-64.3833393290791,-34.2089740213226],[-64.3833711167702,-34.2068144052488],[-64.3820861407143,-34.1980919013112],[-64.3810917718104,-34.1913229337613],[-64.3797250288623,-34.182201396722],[-64.378725807484,-34.1754418109809],[-64.3774053594888,-34.166514460007],[-64.376085753019,-34.1575806807462],[-64.3753919031221,-34.1530757372603],[-64.3749661928434,-34.1486208871236],[-64.3745312624392,-34.1441585405148],[-64.3741256163487,-34.139798595455],[-64.3733039984026,-34.131028412621],[-64.3722272746376,-34.1201189218666],[-64.372017297659,-34.1159082253973],[-64.3720294967961,-34.1091575062869],[-64.3720383574491,-34.0845626839497],[-64.3720630007023,-34.0666593673681],[-64.3720622304436,-34.0442997286593],[-64.3720822641081,-34.0375964026244],[-64.3738737273311,-34.0334305175755],[-64.3775528741915,-34.0250169463174],[-64.3802997106761,-34.0186503686443],[-64.3804625494367,-34.0076910094758],[-64.3805767964571,-33.9988463545698],[-64.3806988434392,-33.987734433832],[-64.3809112637016,-33.9677695657474],[-64.3810654387354,-33.9522216784758],[-64.38151743269,-33.9481427680003],[-64.3821807478334,-33.9420765142079],[-64.3824022869335,-33.9400659507456],[-64.3826336302059,-33.9381028965963],[-64.3826395760517,-33.9349339903192],[-64.3826963334424,-33.9312639164992],[-64.3830687724372,-33.9312580390297]]]}"
LEVALLE V.MACKEN 66 1,,66,,150 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3830050352912,-33.9309822893734],[-64.3830120327113,-33.9308071683507],[-64.3802325936762,-33.930795911319],[-64.3747692868686,-33.9307607038313],[-64.3701014906868,-33.9307577464094],[-64.3646347823756,-33.9307188373194],[-64.3596244260484,-33.9307009800335],[-64.354300825077,-33.9313796175918],[-64.3516269138522,-33.9317205199903],[-64.3492784017131,-33.9325061241928],[-64.3421495153021,-33.9348866635849],[-64.3326368604958,-33.9380523930777],[-64.3254422367272,-33.9404195132315],[-64.3181927368264,-33.9428397859057],[-64.3106380616027,-33.9453466993598],[-64.305586612623,-33.9470215773498],[-64.300563560463,-33.9487039993354],[-64.2955118378005,-33.9503724092989],[-64.2905159506552,-33.952047832919],[-64.2855221671482,-33.9536942720197],[-64.2755294383384,-33.957021543019],[-64.2730448411347,-33.9578584333277],[-64.2604155647878,-33.9620513416759],[-64.250487541571,-33.9653798786612],[-64.2403938213295,-33.9686708246168],[-64.2151427095856,-33.977085760669],[-64.1855664378689,-33.9869001010162],[-64.1524583326652,-33.9978508328412],[-64.1397942585345,-34.0020657109751],[-64.1168903453348,-34.0096368106228],[-64.0842197573315,-34.0204510950338],[-64.0419543486145,-34.0343957206248],[-64.0319512451766,-34.0376785142565],[-63.9881923384246,-34.037734589129],[-63.9746607066389,-34.0377374252203],[-63.94793740764,-34.0377321219694],[-63.945203575342,-34.0378622797815],[-63.9423318062208,-34.0380965146919],[-63.9398545032386,-34.0381041963622],[-63.9372161869059,-34.0378644807547],[-63.9344683201072,-34.0377307844412],[-63.9248507305284,-34.037736906934],[-63.9221497510953,-34.0377057903361],[-63.9220934806338,-34.036765246687]]]}"
BRUZZONE HUINCA RENANCO 66 1,,66,,150 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3554678814098,-34.8357877824003],[-64.3558380219363,-34.8347591031389],[-64.357157464146,-34.8324550800484],[-64.3594675819867,-34.8279512839898],[-64.361498132637,-34.8240640338402],[-64.3638072702254,-34.8196020838634],[-64.3661072661222,-34.8151373059001],[-64.3692016813998,-34.8091739998477],[-64.3703389485567,-34.8067374219667],[-64.3710198547561,-34.8053987914126],[-64.3716263142491,-34.8045300117792],[-64.3712402012178,-34.8034227600355],[-64.3713008288544,-34.8017921061419],[-64.3715132183236,-34.7957015925404],[-64.3717268478256,-34.7894913782499],[-64.3719362139239,-34.7846404884471],[-64.3720910635505,-34.7765292488054],[-64.3723212726065,-34.766826167331],[-64.3725675437142,-34.753836125401],[-64.3728859285876,-34.7392269931707],[-64.3730137269706,-34.732703260142],[-64.3732438169494,-34.7229728307746],[-64.373535384839,-34.7083398060548],[-64.3737641824733,-34.6985797216914],[-64.3740552501043,-34.6839628571354],[-64.3742949411907,-34.6725965761023],[-64.3746336796126,-34.6547234910247],[-64.3748420715727,-34.6436067951062],[-64.3751155095922,-34.6274103645944],[-64.375333438249,-34.6160678104909],[-64.3753492291746,-34.611216450498],[-64.3753437765699,-34.604729659955],[-64.3754002669707,-34.5934115441908],[-64.3754671151599,-34.5820774854458],[-64.37568939311,-34.5739956124637],[-64.376048682876,-34.5610429898079],[-64.3761989067411,-34.5561444011342],[-64.3762793929356,-34.5511752832151],[-64.3766018251618,-34.5365925970669],[-64.3767063018388,-34.531713956598],[-64.3768541553839,-34.5252243233829],[-64.3769877802658,-34.5188827919607],[-64.3770551699897,-34.515637926235],[-64.3773217551639,-34.5042546653261],[-64.3774434806234,-34.4944968191547],[-64.3757295343115,-34.4852529748663],[-64.3748627249728,-34.4807246984771],[-64.373032503294,-34.471369914612],[-64.3728223245337,-34.4698273333692],[-64.3731881499302,-34.4682696339597],[-64.3736761468429,-34.4667088970208],[-64.3770173727252,-34.455831047231],[-64.3783689352376,-34.4511333906752],[-64.3786417223254,-34.4401445359453],[-64.3788023574173,-34.4319754937938],[-64.3789876881408,-34.4245771439315],[-64.3790130675161,-34.4231544714684],[-64.3790152693204,-34.4230484388775],[-64.3787828552111,-34.4230429680488]]]}"
REOLIN DESPENADEROS 66,,66,,,,,,,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3062915734851,-31.811867364219],[-64.3065686839208,-31.8118597981987],[-64.3066965016055,-31.8138539977209],[-64.3069090849003,-31.8147437727321],[-64.3070053998886,-31.8164142921019],[-64.3070194320875,-31.8182440775672],[-64.3070347974168,-31.8220733578479],[-64.3071460125474,-31.8280184763597],[-64.3071331900159,-31.8314581823377],[-64.3071201840736,-31.8350321312906],[-64.3085319685557,-31.8383425295863],[-64.3101237275429,-31.8418217453474],[-64.3106300684752,-31.8436940306629],[-64.3116298924874,-31.8477324373235],[-64.313042791126,-31.8536575382793],[-64.3135269744533,-31.8556633851233],[-64.3149222969608,-31.8595098879539],[-64.3163322932173,-31.8633297377033],[-64.3177496350755,-31.8671795682962],[-64.319141353098,-31.8710355406807],[-64.3205562417504,-31.8748823179553],[-64.3225748120383,-31.8803963656328],[-64.325239185357,-31.887784535221],[-64.3265780495757,-31.8914109618526],[-64.3280180787102,-31.8929618508105],[-64.3323129939777,-31.8977034834005],[-64.336617831228,-31.9023584069272],[-64.3438488625229,-31.9102449119623],[-64.3450410282988,-31.9122271285715],[-64.3455145612622,-31.9142031516647],[-64.3459745985685,-31.9161004829773],[-64.346066100461,-31.9219417187796],[-64.3461618283447,-31.9296763359208],[-64.3463395185312,-31.9412774000463],[-64.3464858219969,-31.947086624222],[-64.3464812837386,-31.9489135229666],[-64.347751887401,-31.955011157392],[-64.3496679378582,-31.9641083604107],[-64.3500128645186,-31.9658181804295],[-64.3509326412591,-31.9676174761081],[-64.3526427656313,-31.9689386687706],[-64.3542666427673,-31.9701311255494],[-64.3574261003691,-31.9724905660801],[-64.3639708146063,-31.9774362629021],[-64.3657553267365,-31.9809879853987],[-64.3712574183916,-31.9911521109648],[-64.3739550000453,-31.9962503997575],[-64.3750265686219,-31.9982221062779],[-64.3755001051961,-31.9999449000965],[-64.3738164724822,-32.0013533484229],[-64.3671393805122,-32.0070947168993],[-64.3608282678181,-32.012534512989],[-64.3592190723562,-32.0139162094558],[-64.3561278532824,-32.0165606426343],[-64.3513809189351,-32.0206250252749],[-64.3501877016834,-32.0223491151984],[-64.3500116194595,-32.0243610901647],[-64.3515055537827,-32.0297454763177],[-64.3540531148303,-32.038809295391],[-64.3545415190077,-32.0406118662499],[-64.3544640625422,-32.0426032486728],[-64.3517243871916,-32.0477530063205],[-64.3478946419146,-32.0549614069948],[-64.3455435419914,-32.0606932690211],[-64.3421009089127,-32.0683328440352],[-64.3395113821518,-32.0738623854359],[-64.3386051065784,-32.075655828443],[-64.3342646276294,-32.084414957954],[-64.3325479404921,-32.0878682211623],[-64.3316654097103,-32.0896490356243],[-64.3302838824439,-32.0915832860385],[-64.3298898107646,-32.0932096057818],[-64.3290390457351,-32.0949787467048],[-64.3281897523238,-32.0966958274956],[-64.3247058876302,-32.103681012906],[-64.3238340761105,-32.1054728369943],[-64.3224567445305,-32.1069303334433],[-64.3196092961,-32.1100036048146],[-64.3066620231241,-32.1238028427624],[-64.3050299640848,-32.1252724090094],[-64.3031070717165,-32.1263624761089],[-64.2992788444268,-32.128525882009],[-64.2973331821,-32.1296211337951],[-64.2954015805988,-32.1307100607838],[-64.2876897069195,-32.135066398125],[-64.2874772894701,-32.136972147713],[-64.2890783013949,-32.1428447718372],[-64.2900957416877,-32.1466913263093],[-64.2911059469721,-32.1503555467397],[-64.2937173289959,-32.1600726106951],[-64.2952672632299,-32.1659226806522],[-64.2968466835469,-32.166734264041],[-64.301203301847,-32.1697441907801],[-64.3070040503079,-32.1737513516526],[-64.3099121814905,-32.17577396932],[-64.3128626973459,-32.1778134583253],[-64.3143118220043,-32.1785031516117],[-64.3172124165684,-32.179946994769],[-64.3201132306745,-32.181371831224],[-64.3232680030523,-32.182909195185],[-64.3231022325689,-32.1857485368832],[-64.3230138749968,-32.1873222752952],[-64.3227613310295,-32.1877084560923]]]}"
REOLIN CASSAFOU 66 1,,66,,95 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.374048604279,-32.1757248250419],[-64.3731931566892,-32.1753770425179],[-64.3721572197531,-32.1771521753225],[-64.3706379697631,-32.1780832431009],[-64.37023704947,-32.1784284281346],[-64.3685981263666,-32.1783032828553],[-64.3655215579338,-32.17812429577],[-64.362290052801,-32.1778947291306],[-64.356089981805,-32.1775097729119],[-64.3527609370503,-32.1765911831436],[-64.3487204224809,-32.1756643365001],[-64.3442147242187,-32.1768407414084],[-64.336010364202,-32.1788704902577],[-64.3346202262026,-32.1794175429219],[-64.3337137957459,-32.1798111712004],[-64.3261633268726,-32.1826018385245],[-64.3246353482789,-32.183444198228],[-64.323113687427,-32.1874235563787],[-64.3228829334196,-32.1877609310937]]]}"
LAS FERIAS - MARANZANA II 132 1,,132,,300 mm2,,2008-08-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3661786674989,-33.1605732824362],[-64.3662580294086,-33.1604766533642],[-64.3650882329386,-33.159891042862],[-64.3654972145193,-33.1592839760862],[-64.3661276485299,-33.1584068007911],[-64.3695655723328,-33.1587815966214],[-64.3701178095309,-33.1584713514389],[-64.3700852936827,-33.1581537053724],[-64.3640477747458,-33.154987246211],[-64.3642727348682,-33.1546200343591],[-64.3675181250462,-33.1546402201129],[-64.3679741800783,-33.1543082599874],[-64.3649138999218,-33.1520087017105],[-64.3631174184795,-33.1506200406631],[-64.3626428522022,-33.1508199338008],[-64.3620745524007,-33.1509392712581],[-64.3614196394366,-33.151086418212],[-64.360895868616,-33.1512110165798]]]}"
MALAGUEN - YOCSINA,,132,,300 mm2,,1993-01-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3488545974838,-31.482548351541],[-64.3484844029324,-31.4825315138693],[-64.3486204693546,-31.4799708303698],[-64.3488024352969,-31.4758620239171],[-64.3496515542574,-31.4586369597499],[-64.3510594310739,-31.4575439016948],[-64.3524308585413,-31.4564993994905],[-64.3565974860955,-31.4533272175097],[-64.3581838703483,-31.452496797435],[-64.3598183343177,-31.4516925932086],[-64.3631182569784,-31.4501003516014],[-64.364770197079,-31.4493044668619],[-64.3663400630492,-31.4485446499611],[-64.3669603765942,-31.4485228234418],[-64.3679653724853,-31.4480384742729],[-64.3679712706752,-31.4466892751563],[-64.3679483719859,-31.4456198360113],[-64.3679252486793,-31.4442572012547],[-64.3680527349071,-31.4442639811046]]]}"
YOCSINA  CDBA SUROESTE,,132,,185 mm2,,1993-01-01,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3680438892658,-31.4441810145845],[-64.3678337586271,-31.444110465308],[-64.3678164682898,-31.443267648685],[-64.3666825017657,-31.4431740363328],[-64.3667236281169,-31.4438328713093],[-64.3667266453268,-31.4445535050423],[-64.3667312028102,-31.4455894365129],[-64.3667342152891,-31.4466106525936],[-64.3667461602194,-31.4472522368149],[-64.3661203100888,-31.4475518549855],[-64.3662376228515,-31.4483750442797],[-64.3645988202422,-31.4491816561104],[-64.3613359955025,-31.450759810854],[-64.358093750013,-31.4523473058344],[-64.3565039672758,-31.4531802922582],[-64.3550661088463,-31.454246774448],[-64.3522695721114,-31.4563797492474],[-64.3508951597993,-31.4574528712514],[-64.3495509704144,-31.458472579632],[-64.3482154165955,-31.4594919968716],[-64.3468822565259,-31.4605137346777],[-64.345565040665,-31.4615423211697],[-64.3442024772161,-31.4625918352831],[-64.341335721359,-31.4632135058647],[-64.3009866405676,-31.4724331136398],[-64.2800271549002,-31.472531371856],[-64.2800264940483,-31.4633970090752],[-64.2556237665023,-31.4634432911228],[-64.2499136846049,-31.4634740179619],[-64.244855216841,-31.4634625740087],[-64.244041642445,-31.4636406963117],[-64.2404400725557,-31.4636368160135],[-64.2386824078499,-31.4636163411953],[-64.2386448756854,-31.4627617339075]]]}"
MARANZANA II - GRAL LEVALLE 132 1,,132,,300 mm2,,,EPEC PRESTADOR FTT,EPEC PRESTADOR FTT,"{""type"":""MultiLineString"",""coordinates"":[[[-64.3665597375545,-33.1607378554589],[-64.3666979778352,-33.1604807893976],[-64.3649318101788,-33.1596178776265],[-64.3626122067944,-33.1580400524583],[-64.3598668669821,-33.1577293472731],[-64.3579978279157,-33.157506727532],[-64.3571640330863,-33.1575459995719],[-64.3532149963681,-33.1571423711699],[-64.3508075168737,-33.1568547940432],[-64.3484939328883,-33.1565715603088],[-64.3468637510923,-33.1562703326814],[-64.3458600476519,-33.1567124045228],[-64.3418926983049,-33.1554533007084],[-64.3399106185013,-33.1548477146172],[-64.3311859619717,-33.1547864789431],[-64.3244080861859,-33.1547499404159],[-64.312565810386,-33.1546918492897],[-64.3117541857869,-33.1547103428901],[-64.3117770091544,-33.1631724870928],[-64.3116967162367,-33.1728967818253],[-64.3116659040076,-33.1744680687948],[-64.3009794575606,-33.1827898525581],[-64.2689217669309,-33.2076160075358],[-64.2668839858934,-33.2088311992346],[-64.2645873711997,-33.2096329183088],[-64.2598762950622,-33.2108438130547],[-64.2553504157816,-33.2120558088619],[-64.2531132184214,-33.212444297461],[-64.2485728417233,-33.2122252670792],[-64.2463561131912,-33.2125878096505],[-64.2269385547238,-33.217679972195],[-64.2049663304896,-33.2234293194959],[-64.2048115571881,-33.2422421917416],[-64.2046191092283,-33.2617004288521],[-64.1766712755566,-33.2626003058931],[-64.149043895695,-33.2663039884841],[-64.1436633893282,-33.2670091252384],[-64.1411359699041,-33.267516523936],[-64.1342245196841,-33.2684337132709],[-64.1320426254134,-33.2687375108314],[-64.1301871724409,-33.2694762758951],[-64.1290225983884,-33.2708491644489],[-64.128721131192,-33.2725318937105],[-64.1283957633931,-33.3009028934509],[-64.1277492595096,-33.3556549394735],[-64.1274160174654,-33.3773452407991],[-64.1271350023835,-33.3963819524832],[-64.1265236355006,-33.3982439770415],[-64.1262111096875,-33.4205352864378],[-64.1256250391253,-33.4642170846667],[-64.1249580740439,-33.4659998126091],[-64.1230280535125,-33.4673756036961],[-64.1208653214147,-33.468353971197],[-64.1191345117647,-33.4700709983114],[-64.1187546878023,-33.4724852935247],[-64.1186153446652,-33.4918669550656],[-64.1184372385387,-33.5255356584218],[-64.0651378575097,-33.5250517089915],[-64.0648040560765,-33.5243499775073],[-63.978407537284,-33.5244709661004],[-63.9779975420453,-33.5264763273788],[-63.9769235722165,-33.5282638726656],[-63.976095690353,-33.5969911365619],[-63.9753721278072,-33.6238168985552],[-63.9749087225812,-33.6257191658318],[-63.9746201105545,-33.6371420404174],[-63.9746201105545,-33.637659841504],[-63.9745062917271,-33.6418427478737],[-63.979087499531,-33.6425872568308],[-63.9809219328628,-33.6430429546973],[-63.9818354112218,-33.6436938559755],[-63.9813598111214,-33.6829469225606],[-63.9806972229475,-33.7311547398664],[-63.9802338177215,-33.769766384792],[-63.9797135030818,-33.8106033267058],[-63.9793395269346,-33.8129202593186],[-63.9791118892797,-33.8302378493243],[-63.9777867129318,-33.8326893152079],[-63.9785102754776,-33.8348030571712],[-63.9785671848913,-33.8741577280232],[-63.9787257182581,-33.9517538695049],[-63.9786322242213,-33.9635244136861],[-63.9786362891794,-33.9850012057317],[-63.9787744977556,-33.9872459943185],[-63.9788476670018,-33.999048696823],[-63.9732624145416,-34.0003090827148],[-63.9649516076604,-34.0021389679825],[-63.9647035371378,-34.0044630052859],[-63.9646934828197,-34.0185354066943],[-63.9651650179619,-34.0229827232608],[-63.9649638025348,-34.0367392910139],[-63.9648194965215,-34.0368639270786],[-63.943545538188,-34.0368605585388],[-63.9415902933311,-34.037588160047],[-63.9232248125342,-34.0375831072802],[-63.9232329424504,-34.035469340132],[-63.9227959594523,-34.0354710244296],[-63.9227817320988,-34.0359173621097]]]}"
